,City,Latitude,Longitude
1280089,sorong,-0.883333,131.25
2918890,concord,37.9780556,-122.03
2578791,najran,17.466667,44.1
2237317,tando adam,25.763736,68.660982
395540,gagnoa,6.131934,-5.950601
622957,xiazhen,34.802222,117.111667
2928511,gainesville,29.6513889,-82.325
1003013,watford,51.666667,-0.4
529091,longyan,25.107222,117.0225
1992161,gashua,12.871,11.0482
521922,linchuan,27.938274,116.292688
496585,huicheng,23.038449,116.28988
2934882,savannah,32.0833333,-81.1
1534707,kashihara,34.45,135.766667
981403,villeurbanne,45.765502,4.875522
309512,patos de minas,-18.583333,-46.533333
301963,itapetininga,-23.6,-48.05
1247309,paseh,-6.803889,107.867222
533752,macheng,31.178333,115.031944
1735317,sabha,27.0333333,14.4333333
2312298,lambare,-25.35,-57.65
2642812,diourbel,14.6666667,-16.25
1341754,kolar,13.133333,78.133333
1190120,jombang,-7.55,112.233333
1343385,lalitpur,24.683333,78.416667
2858243,songea,-10.6833333,35.65
2922609,sunnyvale,37.3688889,-122.0352778
2788206,edirne,41.675745,26.558665
683466,sogamoso,5.714344,-72.933908
132712,mercedes,-33.674359,-65.461405
1545151,ueda,36.4,138.266667
2154567,bahawalnagar,29.998659,73.253604
2969477,sterling heights,42.5802778,-83.0302778
451393,danshui,22.798396,114.467158
2221941,pakpattan,30.341044,73.386642
623299,xichang,27.896422,102.263415
2465890,neftekamsk,56.091991,54.270319
1206979,klaten,-7.705833,110.606389
1320915,ramat gan,32.080556,34.814167
1286011,taman,-7.1785,112.8978
1335941,hathras,27.6,78.05
1262378,rangkasbitung,-6.3591,106.2494
2463398,murom,55.575,42.0426
1828144,pakokku,21.3333333,95.1
2173078,daska,32.324262,74.349741
3051071,angren,41.0166667,70.1436111
1326247,bettiah,26.8,84.5
1330310,cuddapah,14.466667,78.816667
358289,isiro,2.766667,27.616667
696109,sancti spiritus,21.9297222,-79.4425
2754964,surat thani,9.140109,99.333114
501559,jiangyou,31.766667,104.716667
1866529,colima,19.233333,-103.716667
2003402,lafia,8.483333,8.516667
3034275,alexandria,38.8047222,-77.0472222
1981856,amaigbo,5.789171,7.838294
491714,huaihua,27.549444,109.959167
1966392,xai-xai,-25.0519444,33.6441667
2594198,waw,7.7,28.0
2287574,walbrzych,50.771407,16.28432
2275128,plock,52.55,19.7
302953,jequie,-13.85,-40.083333
872185,leon,42.600031,-5.570316
2470824,norilsk,69.3535,88.2027
2252456,elblag,54.1522,19.408841
3136364,worcester,-33.64651,19.448523
2850630,yuanlin,23.9575,120.5733333
1521865,syracuse,37.066667,15.3
2272970,opole,50.666667,17.95
1536513,kusatsu,35.016667,135.966667
2620300,uppsala,59.85,17.633333
2620301,uppsala,59.866667,17.633333
630678,xuanzhou,30.9525,118.755278
1359568,titagarh,22.736389,88.373611
1302849,ungaran,-7.139722,110.405
1919470,bandar maharani,2.0442,102.5689
2922751,thousand oaks,34.1705556,-118.8366667
956970,metz,49.115461,6.175875
1350592,panvel,18.983333,73.1
1529404,asaka,35.804722,139.601944
1735438,surt,31.2061111,16.5947222
2511622,serpukhov,54.915785,37.411139
1335468,halisahar,22.949722,88.419444
1361436,yavatmal,20.4,78.133333
694061,manzanillo,20.3433333,-77.1166667
894420,jimma,7.666667,36.833333
1291820,teluknaga,-6.065,106.644167
1340763,khardaha,22.718611,88.378056
882451,tarragona,41.116667,1.25
1769353,tighina,46.830556,29.471111
2472774,novocheboksarsk,56.110947,47.47755
989333,cambridge,52.2,0.116667
1335898,hassan,13.000556,76.099444
2022600,chinandega,12.6166667,-87.15
907686,oulu,65.016667,25.466667
2412644,kamyshin,50.098331,45.416013
993033,gloucester,51.833333,-2.166667
1053055,larisa,39.6372222,22.4202778
3072724,palo negro,10.1738889,-67.5419444
213021,satkhira,22.7166667,89.1
1119660,gyor,47.687281,17.637616
1280785,subang,-6.57,107.756667
517591,leiyang,26.402382,112.859078
1360061,udupi,13.35,74.75
1366209,dahuk,36.8658333,42.9997222
1484887,shahr-e kord,32.325556,50.864444
3059678,charallave,10.2483333,-66.8566667
2923766,fort collins,40.5852778,-105.0838889
406025,copiapo,-27.366667,-70.333333
1965253,tete,-16.1563889,33.5866667
350999,sherbrooke,45.4,-71.9
1452502,marv dasht,29.8742,52.8025
1530020,daito,34.7,135.616667
2920482,lancaster,34.6980556,-118.1358333
773097,ratisbon,49.015,12.095556
1537473,misato,35.860597,139.864486
3054465,navoi,40.0844444,65.3791667
2829472,tokat,40.313889,36.554444
2212415,mandi bahauddin,32.583387,73.484315
612026,wuda,39.499444,106.711667
1206630,kisaran,2.9845,99.6158
1331147,dehri,24.866667,84.183333
2487312,pervouralsk,56.905278,59.943611
302614,jaragua do sul,-26.483333,-49.066667
2592466,sinnar,13.55,33.6333333
1084390,la ceiba,15.7833333,-86.8
408670,quilpue,-33.045,-71.449444
668591,girardot,4.298659,-74.804681
502941,jiazi,22.877914,116.067054
668224,florencia,1.614382,-75.606229
676463,maicao,11.383208,-72.243208
478491,haicheng,22.975326,115.331794
613667,wuning,29.258873,120.231083
1346614,moga,30.8,75.166667
1719323,siauliai,55.9333333,23.3166667
2250376,dabrowa gornicza,50.326206,19.224381
1321872,abohar,30.15,74.183333
1877636,garza garcia,25.666667,-100.4
1533113,isesaki,36.316667,139.2
134703,san nicolas,-33.335784,-60.225233
582604,shuangcheng,45.35,126.283333
453984,daxian,31.215921,107.500922
339684,pinsk,52.1213889,26.0727778
1325909,beawar,26.1,74.316667
2927886,cape coral,26.5625,-81.9497222
1536977,matsubara,34.566667,135.55
317192,sapucaia,-29.833333,-51.15
2318191,buzau,45.15,26.833333
1318385,bat yam,32.023056,34.750278
2473934,novomoskovsk,54.0105,38.2846
1537624,miyakonojo,31.733333,131.066667
3058227,cabudare,10.0288889,-69.0894444
1351721,pilibhit,28.633333,79.8
1819303,lashio,22.9333333,97.75
2111864,cadiz,10.9465,123.288
1349152,neyveli,11.533333,79.483333
1429226,iranshahr,27.202446,60.684758
1510543,ferrara,44.833333,11.583333
1353605,raniganj,23.616667,87.133333
3028795,mesquite,32.7666667,-96.5988889
3087432,da lat,11.933333,108.416667
1422035,gonbad-e qabus,37.250042,55.167208
1226281,martapura,-3.416667,114.85
2928056,coral springs,26.2708333,-80.2708333
2287027,tychy,50.137167,18.96641
2028254,haarlemmermeer,52.312058,4.693128
1533713,kadoma,34.733333,135.583333
1528813,abiko,35.866667,140.016667
3074018,punto fijo,11.6997222,-70.1991667
2110230,bulaon,15.0879,120.6667
453883,dawukou,39.041944,106.395833
1485057,shahrud,36.418189,54.976282
1334463,godhra,22.75,73.633333
1540445,omuta,33.033333,130.45
1518258,rimini,44.063333,12.580833
310514,pindamonhangaba,-22.916667,-45.466667
647070,zalantun,48.0,122.716667
2390885,dimitrovgrad,54.25,49.55
1069891,quetzaltenango,14.833333,-91.516667
1533832,kakamigahara,35.416667,136.866667
200104,gazipur,23.8,90.65
1150881,blitar,-8.0983,112.1681
256587,pleven,43.4166667,24.6166667
2134909,pagadian,7.8257,123.437
2062615,cajamarca,-7.1666667,-78.5166667
420392,ankang,32.68,109.017222
1350110,palakkad,10.7725,76.651389
2422638,kislovodsk,43.913333,42.720833
1454749,miandoab,36.9694,46.1027
1036508,nzerekore,7.7472222,-8.8238889
1356457,shillong,25.575556,91.873056
1530353,fujieda,34.866667,138.266667
1541428,sanda,34.883333,135.233333
1544574,tondabayashi,34.5,135.6
556407,puqi,29.716667,113.883333
2848384,tanshui,25.1777778,121.4433333
857335,badajoz,38.877894,-6.970613
